cidr,provider,risk,tags,source
137.192.1.0/24,"ANPI Business, LLC",trusted,official|voice|gateway|intermediate|stir-complete,provider
137.192.1.0/24,"ANPI, LLC",trusted,official|voice|gateway|intermediate|stir-complete,provider
137.192.1.0/24,"Inteliquent, Inc.",trusted,official|voice|gateway|intermediate|stir-complete,provider
137.192.1.0/24,"Onvoy Spectrum, LLC",trusted,official|voice|gateway|intermediate|stir-complete,provider
137.192.1.0/24,"Onvoy, LLC",trusted,official|voice|gateway|intermediate|stir-complete,provider
137.192.1.0/24,"Voyant Communications, LLC",trusted,official|voice|gateway|intermediate|stir-complete,provider
137.192.1.0/24,"Voyant Solutions, LLC",trusted,official|voice|gateway|intermediate|stir-complete,provider
198.174.211.0/24,"ANPI Business, LLC",trusted,official|voice|gateway|intermediate|stir-complete,provider
198.174.211.0/24,"ANPI, LLC",trusted,official|voice|gateway|intermediate|stir-complete,provider
198.174.211.0/24,"Inteliquent, Inc.",trusted,official|voice|gateway|intermediate|stir-complete,provider
198.174.211.0/24,"Onvoy Spectrum, LLC",trusted,official|voice|gateway|intermediate|stir-complete,provider
198.174.211.0/24,"Onvoy, LLC",trusted,official|voice|gateway|intermediate|stir-complete,provider
198.174.211.0/24,"Voyant Communications, LLC",trusted,official|voice|gateway|intermediate|stir-complete,provider
198.174.211.0/24,"Voyant Solutions, LLC",trusted,official|voice|gateway|intermediate|stir-complete,provider
18.139.118.128/27,"8x8, Inc.",trusted,official|voice|stir-complete,provider
101.227.59.128/27,"8x8, Inc.",trusted,official|voice|stir-complete,provider
121.244.203.192/27,"Zoom Voice Communications, Inc.",trusted,official|voice|stir-complete,provider
23.167.192.0/24,"Impact Telecom, LLC",neutral,voice|gateway|intermediate|stir-complete,provider
135.84.127.0/24,Piratel llc,neutral,voice|gateway|intermediate|stir-complete,provider
23.167.192.0/24,Versatel LLC,neutral,voice|gateway|intermediate|stir-complete,provider
162.211.102.0/24,9053-6590 QUEBEC INC.,suspicious,voice|foreign|stir-none,provider
162.211.102.0/24,9171-5573 Quebec Inc,suspicious,voice|foreign|stir-complete,provider
162.211.102.0/24,9311-8560 QUEBEC INC,suspicious,voice|foreign|stir-none,provider
162.211.102.0/24,9326-9108 QUEBEC INC.,suspicious,voice|foreign|stir-none,provider
8.28.0.0/22,"8x8, Inc.",trusted,official|voice|stir-complete,provider
3.9.41.96/27,"8x8, Inc.",trusted,official|voice|stir-complete,provider
3.9.159.0/27,"8x8, Inc.",trusted,official|voice|stir-complete,provider
8.5.248.0/23,"8x8, Inc.",trusted,official|voice|stir-complete,provider
3.80.20.0/25,Twilio Inc,trusted,official|voice|intermediate|stir-complete,provider
